SeqNo,text,hashtags,comments,likes
28,28,"Courage has no limit 👏
.
.
.
#feminism #workhard #youmatter #worth #youmatter #History #slay #metoo #timesup #selfworth #believe #empowerment #InspirationalWomen #inspirational #protest #positivevibes #positivity #love #heforshe #achieve #success #support #disruptyourfeed #hustle101 #instagood #kindness #strength",heforshe,|Love love love this film|👏🏼|This seems really racist|❤️,1253
29,29,"A night ago, I walked into a cafe in Karimabad and the moment I entered my eyes were transfixed on the lady sitting behind laptop at the far back. She looked up, and yes that was Alyne! For months I was looking forward to see her, but never knew a spontaneous trip to hunza would end up in meeting my favorite woman and the fiery founder of Girls Gone Global. She got up all ecstatic looking at my bewildered yet excited face as I called out her name in disbelief and gave me a huge hug. She was still working at midnight and asked me to sit down and share my views on women rights in Pakistan. 
We had a discussion on the general stigma surrounding the gender, the lost opportunities and ways to mitigate societal vices such as child marriage. I saw the agony in her eyes as she kept listening and typing. There is not one, but countless reasons why I follow her as a mentor and look up to her and one of them is empathy and selflessness which she has for all living beings wether animals or humans. Its her first time visiting Pakistan and she was already invested in doing all she could to become a voice of the unheard young girls and women in this country. I met a humanist that night and a beautiful soul with a heart of gold. 
This was yet again 'Maktoob'. I wish to see the change her efforts will bring in my lifetime. Can't wait to see her again in Islamabad for an all girls meet up. I'll ask you all to put your differences aside and join her so we can all be part of something so revered that will determine the future of our country in coming years. 
@dearalyne 💕",heforshe,|#dearalyne #karimabad  #girlsgoneglobal #womenrights #workforbetter #dakhans #connections #equalopportunities #togetherforbetter#saynotochildmarriage #womenforwomen #nasdaily #pakistantourism #empathy #heforshe #feminism#humanism #breaking stereotypes #travelpakistan #hunza #north #pakistanimedia #govofpakistan #Pakistanforall|😍|SO NICE TO MEET YOU!|My favourite 😭❤️,85
30,30,"FACTS ~ E
.
.
.
#metoo #rapeculture #heforshe #mybodymychoice #nomeansno #notyourplayground #notyourbaby #catcalling #assault #catcallingisnotacompliment #rapist #streetharrassment #harassment #rapevictim #yesallwomen #feminist #feminism #intersectional #intersectionalfeminism #blm #blacklivesmatter #woc #music",heforshe,|👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽|I should have reported this abuser @ akeemcarter7908. Disgusting rapist|Period,236
31,31,"The second slide is so legit ~ E
.
.
.
#metoo #rapeculture #heforshe #mybodymychoice #nomeansno #notyourplayground #notyourbaby #catcalling #assault #catcallingisnotacompliment #rapist #streetharrassment #harassment #rapevictim #yesallwomen #feminist #feminism #intersectional #intersectionalfeminism #blm #blacklivesmatter #woc #music",heforshe,|Both so true OMG❤️|I had seen the first slide but never the second. Both so damn accurate,160
32,32,"Even our mugs are inspiring 😉! Here’s your daily reminder to keep going 💪!
•
•
•
#wednesdaywisdom #wednesdayvibes #butfirstcoffee #inspiration #motivation #truth #womenhelpingwomen #womensupportingwomen #strongwomen #sisterhood #womenempowerment #heforshe #lgbtq #nonprofit #community #findyourvillage #endthestigma #mentalhealthmatters #mentalhealthawareness #therapy #counseling #selfcare #selflove",heforshe,|Yes!! 💙,24
33,33,"Standing ovation #SonRiseTheFilm at the #BloombergEquality Summit in #Mumbai tonight! Today was a historical evening for us - @C_P_Gurnani @Sudhanshu_Vats @HUL_News @BainCapital take the pledge forward! #HeForShe http://bit.ly/SonRisePledge UN Women India Vibha Bakshi Congratulations @mallika.kapur for a hugely successful and historic Bloomberg Equality Summit in Mumbai, its first in Asia👏🏼👏🏼👏🏼🙏🏼🙏🏼🙏🏼",heforshe,"|More power to all of you👍👍👍|So proud of you 👏💖😘🌟💃|Congratulations. 👍😍Truly deserved|GREAT👍......💐🙏🙏|SO PROUD OF YOU❤️❤️❤️😍😍😍|You deserve it 😘👏🏻👏🏻👏🏻|Awesome to great personalities|Delighted to host your film at #BloombergEquality! Thank you!|👏👏👏👏👏👏|👏👏👏👏👏👏|Awesome Vibha...so so proud! 👏🏻👏🏻👏🏻|🥂👌🏻|Vibha, congrats for the super success of Son rise.👍",47
34,34,"🍂Autumn- our favourite season is finally here! How do you wear your Bahini scarf? Tag us to be featured! 
Scarf: Sky 
Model: @youropenheart 
#mybahini #womenempoweringwomen #shibori⁠",heforshe,"|·⁠
·⁠
·⁠
·⁠
·⁠
#equalrights #equality #girlrising #girlstoschool #yourvoicematters #endtrafficking #endhumantrafficking #humantraffickingawareness #createchange #womenempowerment #onereasonwhyimaglobalfeminist #globalfeminism #timetoact #slowfashion  #empoweringgrowth #equalityforall #fairtradefashion #girlpower #heforshe #standup4humanrights  #standwithher #socialactivism #loveourgirls #socialentrepreneur #femaleentrepreneur #indigo #whomadeyourclothes",32
35,35,"Taller de Inducción Nuevas Asociadas #WIMPERU ¡Muchas gracias por participar!

#TrabajoEnEquipo 
#sorority 
#OrgulloWiM 
#SerMemorables 
#MujeresMineras 
#ComunidadWiM

#WOMENINMINING 
#womeninscience 
#WIMPERU 
#balanceforbetter 
#heforshe 
#MujeresMinerasPeru 
#miningengineering 
#students 
#estudiantes 
#MujeresMineras 
#SERMEMORABLES 
#liderazgoWiM 
#SerWiMPeru
#MININGLIFE 
#mining",heforshe,|😊👍|Cómo me asoció?|WIM ❤️,32
36,36,"#Bienvenidas
👷‍♀️👷🏻‍♀️👷🏼‍♀️👷🏽‍♀️👷🏾‍♀️👷🏿‍♀️ ¡Mujer Minera, queremos darte la bienvenida a nuestra comunidad #WiMPeru! ¡Muchas gracias por participar de este taller!

#OrgulloWiM 
#SerMemorables 
#MujeresMineras 
#ComunidadWiM

#WOMENINMINING 
#womeninscience 
#WIMPERU 
#balanceforbetter 
#heforshe 
#MujeresMinerasPeru 
#miningengineering 
#students 
#estudiantes 
#MujeresMineras 
#SERMEMORABLES 
#liderazgoWiM 
#SerWiMPeru
#MININGLIFE 
#mining",heforshe,|Nuestra #comunidadWiMPeru sigue creciendo 💪🏽👏🏽|👏😍,36
37,37,Loves❤,heforshe,|[TAGS IGNORE]♡ #emmawatson #emma #watson #emmacharlotteduerrewatson #heforshe #interview #idol #cute #follow #harrypotter #hermionegranger #proudofemma #teamwatson #timeisup,99
