SeqNo,text,hashtags,comments,likes
648,"“ My feminine side to me is how I prefer to show who I am as I know I am/I identify as a female and am proud of who I am! I have tried the tomboy and short hair style but it just wasn’t me, dressing feminine helps me feel more like who I really am. I know that because I don’t fit the typical stereotype of a girl who likes girls has made it difficult to find a girl. Many times I’ve tried talking to girls and have been rejected because I “don’t look gay enough” or they “don’t trust bi girls” which I don’t think is fair. I find the LGBTQ+ community deals with enough discrimination, and I don’t think we should be doing it to each other! I think we need to work on including our own community more before we can be mad at others for judging us as well.” •
Check out this beautiful femme @shemeltsaway
🏳️‍🌈 Want to be featured? DM us what being a femme, or your feminine side, means to you ! This brand is not about labels, it is about embracing a part of who you are without facing harassment or hate. It is about being able to be comfortable with who you are no matter what you choose to wear. There is no such thing as looking too gay or not gay enough. We invite all lgbtq+ members that are feminine or have a feminine side to them, to reach out and tell us what it means to you. 🏳️‍🌈",weareequal,"|#bigirl #bifemme #lgbtqcommunity #discrimination #equalrightsforall #judgementalpeople #hetronormative #gaygang #loveisequal #weareequal|Love the blue hair!!|I love your style! It can be hard finding girls when dressing femme, even though some girls prefer them femme look. It’s so confusing to not ‘look gay enough’ even though that’s what some girls are attracted to 🙄😩|Love the hair the piercings! Beautifully said as well ❤️|I am obsessed with your blue hair girl💙|Preach girl!! This hits home for me . I agree this community needs to include everyone (all LGBTQ+ members) and not discriminate.|Tbh what the past generation viewed as peculiar is now viewed as the norm so fuck gender roles and normal colored hair. Society is constructed from the world around us and THANK YOU for helping form an all accepting, all inclusive society for future generations ❤️|You rock girl speak your truth!!!! 🔥🔥🔥🔥|woooow my heart stopped. what a beautiful human!",103
649,"You have just as much worth and value as every other single person on this planet. ~Rebecca
-
-
-
-
#youhaveworth #youhavevalue #inthistogether #youareworthit #youarevalued #youarewanted #weareequal #youarevaluable #youareloved #youareenough #selfesteem #insecurity #highselfesteem #lowselfesteem #youarenotalone #mentalhealth #mentalhealthsupport #mentalhealthawareness #mentalhealthcommunity #youareamazing #hope",weareequal,"|👏👏👏👏👏❤️❤️❤️❤️❤️👏👏👏🏽💝💝💝|💕😙|❤️❤️❤️|👏👏👏👏👏👏❤️❤️❤️|This is a hard one, but  I am trying 💕",197
650,"Today it is International Day of Friendship. “Love does not cost anything. Kind words and deeds do not cost anything. The real beauty of the world is equal for everyone to see. 
We are all equal in the fact that we are all different. We are all the same in the fact that we will never be the same. We are united by the reality that all colours and all cultures are distinct & individual. We are harmonious in the reality that we are all held to this earth by the same gravity.” - C. JoyBell C.
.
#returntosender #myreturntosender #friendship #internationaldayoffriendship #internationaldayoffriendship2019 #equal #weareequal #wearethesame #bethechange #bethechange🌎 #abetterworld",weareequal,|Prachtige foto💕|❤️❤️❤️|Prachtig|And that is the truth !!,114
651,"The day is foggy here in Berlin.
I call a @uber and the uber driver was very fast. I enter in the car and 10mts after we start his working, we were stop by the police because he just open the window and press a button in the car panel. The @polizeiberlin argue he was one the phone doing a call. He wasn't! 
They stop the car almost 15minutes during my way back to airport and they were rude. Other uber cars pass through us, pressing the phone buttons and the polizei didn't act. 
I told them that the guy wasn't on the phone and we try to show them the uber record. And you know what? They told me to fuck off because they didn't care. Isn't their problem. 
Interesting point: Bassam, Uber driver, is from Palestine and having a big beard with shaved head, like me (I've less beard).
Sum up: berlin police send me to fuck off just because I ask them if we can move forward because I have a flight? Really? This how you approach people that don't talk German? Why you have biased people doing this job, jeopardizing who are working just for free? 
@Uber you should understand how your drivers in Berlin are losing money and customers because the Polizei stop the cars when the drivers accept the travel orders.
#uber #polizei #berlin #palestine #dontbebiased #equalrights #weareequal #humanrights #instapic #picoftheday #german #fightracism",weareequal,"|Lamentável|@@keniagarrido isto também é assim aí onde vocês moram? Ou é por ser Berlim?|que fdps 😡|Que bonito|Falo da vista!!😅|😥|Vou a Berlim com o mais novo daqui a duas semanas! Não posso ver nada :) e que tal?|😢😢|Minhas experiências em Munique com alemães também não foram nada boas.. 🙄|Acho que intolerantes há em todo o lado, foi um azar ter sido contigo. A cultura alemã é diferente, não vais ter um sorriso aberto ou uma aproximação nas tuas primeiras conversas. Mas ganhas amigos para o resto vida se investires nessas relações. Abraço|😞",21
652,"Most of my posts deal with food or baking but the larger world affects me and us. I was walking over the last weekend and angrily rehashing the Presidents latest tweet storm aimed at citizens of the USA (and the world) who he deems as less than human. 
How should one respond to these comments? How does a citizen with no power respond meaningfully? We MUST speak out about racism and dehumanizing comments and when I saw this collection of flags proudly showing the inclusion of the “other” I could not help but take image and want to share #nomoreracism #nomorediscrimination #weareallhuman#stopthetweets#nohatehere#supporteachother#loveislove#endracismnow#acceptance #rainbowflag#rainbow#pride#endracism#nomoreracisttweets#enough#weareequal#equalrightsforall#iphonephotography #whatisee#whatiponder",weareequal,|❤️|This is a powerful post and it takes courage to write it. 👏🏻👏🏻👏🏻|I am so proud to call you cousin!  You’re amazing ❤️,32
653,"Met these beautiful kids, first time I was asked for an autograph. I don't know why but I am glad I could inspire them to:
Study hard,
Pray
And
Push up everyday!
#love #weareequal",weareequal,"|The next super star ✌😎|Like a celeb,Veer 👍😀",80
654,"#OneOfAKind #PetaYouth #SaveTheAnimals #WeAreEqual #RightsForAll #BeTheChange
Stand Up For Animal, They Need Your Love, Support & Respect.
Let's Make a Good Change Together!
@peta @petaindia @petakids
.....
Shot on Nikon D3200 + Nikkor. 35mm 1.8G.",weareequal,|🙏💜😍😍😍,75
655,"This world would be so much better if ppl could only open their eyes into matters that really count. Last night i stressed my mind out about how miserable i feel when i see how ppl lost their paths, their dignity, their dreams. You should stop going by the trend and make your own path. This cruel misconceptions and internet viral stuff takes out all the humanity left inside of us. Ppl are so busy to run after popularity, money, followers. In the end of the day none of this will actually stay with you or make you feel  peaceful. Ppl forget so easily they used to be simple, they run after succes like its some kind of status that permits you to live in here. Wake up, you have been born with the right to live your life and you are already succesful without being some kind of millionaire or popular vlogger bla bla. Internet opened so many of way for ppl who doesnt even have any talent or life experience to make themselves “popular” just by making fun of trivial stuff and blind brains actually like it cuz so that’s the trend😪. If you want something nice in life start to treat yourself nice and take care nicely of the ppl around you who actually care about even when u are nothing . I learnt you cannot achieve true succes without working hard or fight truly for what you believe in. You don’t need to compete with others cuz your place is already yours anyway. The world makes us turn our back on each others when love and compasion should be the key in surviving better and get along..start appreciate more of what is fragile and unique and strong not what ppl make fun of or show the others through their phones. Beside that full account of cool pictures etc most of them are empty and have nothing to offer to anybody. Selfish people will never get it in the end..this is our ruin right now..everyone think is better than someone else but in the end we are all equal! #hateloverelationship #mikachu #thought #mylife #advice #world #wise #appreciatelife #iexist #worldwide #betterlife #itsuptoyou #change #model #lost #weareequal #thoughtsinwords #instaquote #modelinseoul",weareequal,|Divina...😮😍,77
656,"Something we put together with random clips from season 9 😜

Comment below your favorite kill by the persons name!

PSA smuqy is no longer apart of Equal but he’s featured in the video. Forgive us?

Players Featured:

@eq.nima
@eq.mtbough
@eq.silent
@xetrayal
@eq.nzkko
@wxlyn_
@eq.bobo
@eq.burnsi
@eylezy

#area51 #controllergang #fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #fortnitemexico #fortnitemobile #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam
#area51 #controllergang #fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #fortnitemexico #fortnitemobile #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam",weareequal,"|Liked can you check out our page and drop a follow  you're awesome ❤️|DM me if you want to be in my Instagram support group , you will get so much more engagement !🔥|You’re insane wtf, def up next 🐐Am i good for mobile?|Quality was ruined because of Instagram!|👀|💕💕|🔥🐐|We are Equal! 💞🌪|Dam we are goated 🤣🐐|🔥🔥🔥🔥🔥🔥🔥|😉|GGGSSSSS🔥🔥🔥🐐🐐🐐|Goats🐐🐐🐐|Do you mind checking me out and giving me a follow?|🔥🔥🔥🐐🐐❤️❤️|I’m commenting Not To Self Promote But You Need To Hear This 🙏🏾 I’m Grinding For @teamruthless.inc you should to your a decent player I see your builds and decent clips give them a follow and text them !! ❤️|🙌🔥🔥|Banger|The designs getting badder and badder|Xetrayal is for sure @xetrayal|🔥🔥🔥🔥|Please comment to help make this stickman the most commented post on IG 👑. Drop multiple comments on the post on my page 🙏|🐐🔥🔥|damn eq.bynnex kinda cute🖤",103
657,"#Repost @mind_ascension.barber
• • • • •
#makeamericagreatagain #maga #isupporttrump #trump2020 #amerikkka #americanstyle #landofthefree #weareequal #thereisnorace #weareallone #americathebeautiful #bluelivesmatter #copsaretops #racismiswrong #weareallthesameinside #blackawareness 
#ControlTheNarrative #knowyourworth #blackpeopleunite",weareequal,"|This is old|Emm 🤔🤔 only kill black people.  That's because in law  like I told you ,black is a dead status.  Civiliter  Mortuus . @esl_made_easy_|He’s going to retire|🐖🐖",76
